"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"11","0 - 200",12,"existing credits paid back duly till now","car (new)",1295,"less than 100","less than 1 year",3,"female (divorced/separated/married)","none",1,"car or other",25,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"12","Negative",48,"existing credits paid back duly till now","business",4308,"less than 100","less than 1 year",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"13","0 - 200",12,"existing credits paid back duly till now","radio/television",1567,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",1,"car or other",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"14","Negative",24,"critical account/ other credits existing (not at this bank)","car (new)",1199,"less than 100","more than 7 years",4,"male (single)","none",4,"car or other",60,"none","own",2,"unskilled - resident",1,"none","Yes","bad"
"15","Negative",15,"existing credits paid back duly till now","car (new)",1403,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"16","Negative",24,"existing credits paid back duly till now","radio/television",1282,"100 to 500","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",32,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"17","No checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2424,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",53,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"18","Negative",30,"no credits taken / all credits paid back duly","business",8072,"unknown / no savings account","less than 1 year",2,"male (single)","none",3,"car or other",25,"bank","own",3,"skilled employee / official",1,"none","Yes","good"
"19","0 - 200",24,"existing credits paid back duly till now","car (used)",12579,"less than 100","more than 7 years",4,"female (divorced/separated/married)","none",2,"unknown / no property",44,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"20","No checking account",24,"existing credits paid back duly till now","radio/television",3430,"500 to 1000","more than 7 years",3,"male (single)","none",2,"car or other",31,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"21","No checking account",9,"critical account/ other credits existing (not at this bank)","car (new)",2134,"less than 100","1 to 4 years",4,"male (single)","none",4,"car or other",48,"none","own",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"22","Negative",6,"existing credits paid back duly till now","radio/television",2647,"500 to 1000","1 to 4 years",2,"male (single)","none",3,"real estate",44,"none","rent",1,"skilled employee / official",2,"none","Yes","good"
"23","Negative",10,"critical account/ other credits existing (not at this bank)","car (new)",2241,"less than 100","less than 1 year",1,"male (single)","none",3,"real estate",48,"none","rent",2,"unskilled - resident",2,"none","No","good"
"24","0 - 200",12,"critical account/ other credits existing (not at this bank)","car (used)",1804,"100 to 500","less than 1 year",3,"male (single)","none",4,"building society savings agreement/ life insurance",44,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"25","No checking account",10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2069,"unknown / no savings account","1 to 4 years",2,"male (married/widowed)","none",1,"car or other",26,"none","own",2,"skilled employee / official",1,"none","No","good"
"26","Negative",6,"existing credits paid back duly till now","furniture/equipment",1374,"less than 100","1 to 4 years",1,"male (single)","none",2,"real estate",36,"bank","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"27","No checking account",6,"no credits taken / all credits paid back duly","radio/television",426,"less than 100","more than 7 years",4,"male (married/widowed)","none",4,"car or other",39,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"28","Over 200",12,"all credits at this bank paid back duly","radio/television",409,"more than 1000","1 to 4 years",3,"female (divorced/separated/married)","none",3,"real estate",42,"none","rent",2,"skilled employee / official",1,"none","Yes","good"
"29","0 - 200",7,"existing credits paid back duly till now","radio/television",2415,"less than 100","1 to 4 years",3,"male (single)","guarantor",2,"real estate",34,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"30","Negative",60,"delay in paying off in the past","business",6836,"less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"31","0 - 200",18,"existing credits paid back duly till now","business",1913,"more than 1000","less than 1 year",3,"male (married/widowed)","none",3,"real estate",36,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"32","Negative",24,"existing credits paid back duly till now","furniture/equipment",4020,"less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",27,"stores","own",1,"skilled employee / official",1,"none","Yes","good"
"33","0 - 200",18,"existing credits paid back duly till now","car (new)",5866,"100 to 500","1 to 4 years",2,"male (single)","none",2,"car or other",30,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"34","No checking account",12,"critical account/ other credits existing (not at this bank)","business",1264,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",57,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"35","Over 200",12,"existing credits paid back duly till now","furniture/equipment",1474,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",33,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"36","0 - 200",45,"critical account/ other credits existing (not at this bank)","radio/television",4746,"less than 100","less than 1 year",4,"male (single)","none",2,"building society savings agreement/ life insurance",25,"none","own",2,"unskilled - resident",1,"none","Yes","bad"
"37","No checking account",48,"critical account/ other credits existing (not at this bank)","education",6110,"less than 100","1 to 4 years",1,"male (single)","none",3,"unknown / no property",31,"bank","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"38","Over 200",18,"existing credits paid back duly till now","radio/television",2100,"less than 100","1 to 4 years",4,"male (single)","co-Applicant",2,"real estate",37,"stores","own",1,"skilled employee / official",1,"none","Yes","bad"
"39","Over 200",10,"existing credits paid back duly till now","domestic appliances",1225,"less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"40","0 - 200",9,"existing credits paid back duly till now","radio/television",458,"less than 100","1 to 4 years",4,"male (single)","none",3,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"41","No checking account",30,"existing credits paid back duly till now","radio/television",2333,"500 to 1000","more than 7 years",4,"male (single)","none",2,"car or other",30,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
"42","0 - 200",12,"existing credits paid back duly till now","radio/television",1158,"500 to 1000","1 to 4 years",3,"male (divorced/separated)","none",1,"car or other",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"43","0 - 200",18,"delay in paying off in the past","repairs",6204,"less than 100","1 to 4 years",2,"male (single)","none",4,"real estate",44,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good"
"44","Negative",30,"critical account/ other credits existing (not at this bank)","car (used)",6187,"100 to 500","4 to 7 years",1,"male (married/widowed)","none",4,"car or other",24,"none","rent",2,"skilled employee / official",1,"none","Yes","good"
"45","Negative",48,"critical account/ other credits existing (not at this bank)","car (used)",6143,"less than 100","more than 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",58,"stores","for free",2,"unskilled - resident",1,"none","Yes","bad"
"46","No checking account",11,"critical account/ other credits existing (not at this bank)","car (new)",1393,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
"47","No checking account",36,"existing credits paid back duly till now","radio/television",2299,"500 to 1000","more than 7 years",4,"male (single)","none",4,"car or other",39,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"48","Negative",6,"existing credits paid back duly till now","car (used)",1352,"500 to 1000","Unemployed",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","rent",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good"
"49","No checking account",11,"critical account/ other credits existing (not at this bank)","car (new)",7228,"less than 100","1 to 4 years",1,"male (single)","none",4,"building society savings agreement/ life insurance",39,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"50","No checking account",12,"existing credits paid back duly till now","radio/television",2073,"100 to 500","1 to 4 years",4,"female (divorced/separated/married)","co-Applicant",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"51","0 - 200",24,"delay in paying off in the past","furniture/equipment",2333,"unknown / no savings account","less than 1 year",4,"male (single)","none",2,"building society savings agreement/ life insurance",29,"bank","own",1,"unskilled - resident",1,"none","Yes","good"
"52","0 - 200",27,"delay in paying off in the past","car (used)",5965,"less than 100","more than 7 years",1,"male (single)","none",2,"car or other",30,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"53","No checking account",12,"existing credits paid back duly till now","radio/television",1262,"less than 100","1 to 4 years",3,"male (single)","none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"54","No checking account",18,"existing credits paid back duly till now","car (used)",3378,"unknown / no savings account","1 to 4 years",2,"male (single)","none",1,"building society savings agreement/ life insurance",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"55","0 - 200",36,"delay in paying off in the past","car (new)",2225,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",57,"bank","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"56","No checking account",6,"all credits at this bank paid back duly","car (new)",783,"unknown / no savings account","1 to 4 years",1,"male (single)","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"none","Yes","good"
"57","0 - 200",12,"existing credits paid back duly till now","radio/television",6468,"unknown / no savings account","Unemployed",2,"male (single)","none",1,"unknown / no property",52,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"58","No checking account",36,"critical account/ other credits existing (not at this bank)","radio/television",9566,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"car or other",31,"stores","own",2,"skilled employee / official",1,"none","Yes","good"
"59","Over 200",18,"existing credits paid back duly till now","car (new)",1961,"less than 100","more than 7 years",3,"female (divorced/separated/married)","none",2,"car or other",23,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
"60","Negative",36,"critical account/ other credits existing (not at this bank)","furniture/equipment",6229,"less than 100","less than 1 year",4,"female (divorced/separated/married)","co-Applicant",4,"unknown / no property",23,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"61","0 - 200",9,"existing credits paid back duly till now","business",1391,"less than 100","1 to 4 years",2,"male (married/widowed)","none",1,"real estate",27,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"62","0 - 200",15,"critical account/ other credits existing (not at this bank)","radio/television",1537,"unknown / no savings account","more than 7 years",4,"male (single)","guarantor",4,"real estate",50,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"63","0 - 200",36,"no credits taken / all credits paid back duly","business",1953,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",61,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"64","0 - 200",48,"no credits taken / all credits paid back duly","business",14421,"less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",25,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"65","No checking account",24,"existing credits paid back duly till now","radio/television",3181,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"66","No checking account",27,"existing credits paid back duly till now","repairs",5190,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",48,"none","own",4,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"67","No checking account",12,"existing credits paid back duly till now","radio/television",2171,"less than 100","less than 1 year",2,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","Yes","good"
"68","0 - 200",12,"existing credits paid back duly till now","car (new)",1007,"more than 1000","1 to 4 years",4,"male (married/widowed)","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"69","No checking account",36,"existing credits paid back duly till now","education",1819,"less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",37,"stores","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"70","No checking account",36,"existing credits paid back duly till now","radio/television",2394,"unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",25,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"71","No checking account",36,"existing credits paid back duly till now","car (used)",8133,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",30,"bank","own",1,"skilled employee / official",1,"none","Yes","good"
"72","No checking account",7,"critical account/ other credits existing (not at this bank)","radio/television",730,"unknown / no savings account","more than 7 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",46,"none","rent",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"73","Negative",8,"critical account/ other credits existing (not at this bank)","others",1164,"less than 100","more than 7 years",3,"male (single)","none",4,"unknown / no property",51,"bank","for free",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"74","0 - 200",42,"critical account/ other credits existing (not at this bank)","business",5954,"less than 100","4 to 7 years",2,"female (divorced/separated/married)","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"none","Yes","good"
"75","Negative",36,"existing credits paid back duly till now","education",1977,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"76","Negative",12,"critical account/ other credits existing (not at this bank)","car (used)",1526,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",66,"none","for free",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
"77","Negative",42,"existing credits paid back duly till now","radio/television",3965,"less than 100","less than 1 year",4,"male (single)","none",3,"car or other",34,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"78","0 - 200",11,"delay in paying off in the past","radio/television",4771,"less than 100","4 to 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",51,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"79","No checking account",54,"no credits taken / all credits paid back duly","car (used)",9436,"unknown / no savings account","1 to 4 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",39,"none","own",1,"unskilled - resident",2,"none","Yes","good"
"80","0 - 200",30,"existing credits paid back duly till now","furniture/equipment",3832,"less than 100","less than 1 year",2,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",22,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"81","No checking account",24,"existing credits paid back duly till now","radio/television",5943,"unknown / no savings account","less than 1 year",1,"female (divorced/separated/married)","none",1,"car or other",44,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"82","No checking account",15,"existing credits paid back duly till now","radio/television",1213,"500 to 1000","more than 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",47,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"83","No checking account",18,"existing credits paid back duly till now","business",1568,"100 to 500","1 to 4 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"84","Negative",24,"existing credits paid back duly till now","others",1755,"less than 100","more than 7 years",4,"female (divorced/separated/married)","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"85","Negative",10,"existing credits paid back duly till now","radio/television",2315,"less than 100","more than 7 years",3,"male (single)","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"86","No checking account",12,"critical account/ other credits existing (not at this bank)","business",1412,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","guarantor",2,"real estate",29,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"87","0 - 200",18,"critical account/ other credits existing (not at this bank)","furniture/equipment",1295,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"88","0 - 200",36,"existing credits paid back duly till now","education",12612,"100 to 500","1 to 4 years",1,"male (single)","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad"
"89","Negative",18,"existing credits paid back duly till now","car (new)",2249,"100 to 500","4 to 7 years",4,"male (single)","none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"90","Negative",12,"no credits taken / all credits paid back duly","repairs",1108,"less than 100","4 to 7 years",4,"male (single)","none",3,"real estate",28,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"91","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",618,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",56,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"92","Negative",12,"critical account/ other credits existing (not at this bank)","car (used)",1409,"less than 100","more than 7 years",4,"male (single)","none",3,"real estate",54,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"93","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",797,"unknown / no savings account","more than 7 years",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",33,"bank","own",1,"unskilled - resident",2,"none","Yes","bad"
"94","Over 200",24,"critical account/ other credits existing (not at this bank)","furniture/equipment",3617,"unknown / no savings account","more than 7 years",4,"male (single)","co-Applicant",4,"unknown / no property",20,"none","rent",2,"skilled employee / official",1,"none","Yes","good"
"95","0 - 200",12,"existing credits paid back duly till now","car (new)",1318,"more than 1000","more than 7 years",4,"male (single)","none",4,"real estate",54,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"96","0 - 200",54,"no credits taken / all credits paid back duly","business",15945,"less than 100","less than 1 year",3,"male (single)","none",4,"unknown / no property",58,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"97","No checking account",12,"critical account/ other credits existing (not at this bank)","education",2012,"unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",2,"car or other",61,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"98","0 - 200",18,"existing credits paid back duly till now","business",2622,"100 to 500","1 to 4 years",4,"male (single)","none",4,"car or other",34,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"99","0 - 200",36,"critical account/ other credits existing (not at this bank)","radio/television",2337,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"100","0 - 200",20,"delay in paying off in the past","car (used)",7057,"unknown / no savings account","4 to 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",36,"bank","rent",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"101","No checking account",24,"existing credits paid back duly till now","car (new)",1469,"100 to 500","more than 7 years",4,"male (married/widowed)","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"102","0 - 200",36,"existing credits paid back duly till now","radio/television",2323,"less than 100","4 to 7 years",4,"male (single)","none",4,"car or other",24,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"103","No checking account",6,"delay in paying off in the past","radio/television",932,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"104","0 - 200",9,"critical account/ other credits existing (not at this bank)","furniture/equipment",1919,"less than 100","4 to 7 years",4,"male (single)","none",3,"car or other",35,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"105","No checking account",12,"existing credits paid back duly till now","car (used)",2445,"unknown / no savings account","less than 1 year",2,"male (married/widowed)","none",4,"car or other",26,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"106","0 - 200",24,"critical account/ other credits existing (not at this bank)","others",11938,"less than 100","1 to 4 years",2,"male (single)","co-Applicant",3,"car or other",39,"none","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad"
"107","No checking account",18,"all credits at this bank paid back duly","car (new)",6458,"less than 100","more than 7 years",2,"male (single)","none",4,"unknown / no property",39,"bank","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","bad"
"108","0 - 200",12,"existing credits paid back duly till now","car (new)",6078,"less than 100","4 to 7 years",2,"male (single)","none",2,"car or other",32,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"109","Negative",24,"existing credits paid back duly till now","furniture/equipment",7721,"unknown / no savings account","less than 1 year",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",30,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","No","good"
"110","0 - 200",14,"existing credits paid back duly till now","business",1410,"500 to 1000","more than 7 years",1,"male (married/widowed)","none",2,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"111","0 - 200",6,"delay in paying off in the past","business",1449,"100 to 500","more than 7 years",1,"male (divorced/separated)","none",2,"car or other",31,"bank","own",2,"skilled employee / official",2,"none","Yes","good"
"112","Over 200",15,"existing credits paid back duly till now","education",392,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"113","0 - 200",18,"existing credits paid back duly till now","car (new)",6260,"less than 100","4 to 7 years",3,"male (single)","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"114","No checking account",36,"critical account/ other credits existing (not at this bank)","car (new)",7855,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",25,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"115","Negative",12,"existing credits paid back duly till now","radio/television",1680,"500 to 1000","more than 7 years",3,"male (married/widowed)","none",1,"real estate",35,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"116","No checking account",48,"critical account/ other credits existing (not at this bank)","radio/television",3578,"unknown / no savings account","more than 7 years",4,"male (single)","none",1,"real estate",47,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"117","Negative",42,"existing credits paid back duly till now","radio/television",7174,"unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",30,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"118","Negative",10,"critical account/ other credits existing (not at this bank)","furniture/equipment",2132,"unknown / no savings account","less than 1 year",2,"female (divorced/separated/married)","co-Applicant",3,"real estate",27,"none","rent",2,"skilled employee / official",1,"none","No","good"
"119","Negative",33,"critical account/ other credits existing (not at this bank)","furniture/equipment",4281,"500 to 1000","1 to 4 years",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"120","0 - 200",12,"critical account/ other credits existing (not at this bank)","car (new)",2366,"500 to 1000","4 to 7 years",3,"male (divorced/separated)","none",3,"car or other",36,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"121","Negative",21,"existing credits paid back duly till now","radio/television",1835,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"real estate",25,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"122","No checking account",24,"critical account/ other credits existing (not at this bank)","car (used)",3868,"less than 100","more than 7 years",4,"female (divorced/separated/married)","none",2,"car or other",41,"none","rent",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"123","No checking account",12,"existing credits paid back duly till now","furniture/equipment",1768,"less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"124","Over 200",10,"critical account/ other credits existing (not at this bank)","car (new)",781,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",63,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"125","0 - 200",18,"existing credits paid back duly till now","furniture/equipment",1924,"unknown / no savings account","less than 1 year",4,"female (divorced/separated/married)","none",3,"real estate",27,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"126","Negative",12,"critical account/ other credits existing (not at this bank)","car (new)",2121,"less than 100","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",30,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"127","Negative",12,"existing credits paid back duly till now","radio/television",701,"less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"128","0 - 200",12,"existing credits paid back duly till now","repairs",639,"less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
